logit_score_z,probability_malignant_full_data_fit
-2.817963865410,0.056361126706
-2.800787146248,0.057281654818
-2.783610427085,0.058216290078
-2.766433707923,0.059165218209
-2.749256988760,0.060128626377
-2.732080269598,0.061106703165
-2.714903550435,0.062099638549
-2.697726831273,0.063107623872
-2.680550112110,0.064130851812
-2.663373392948,0.065169516352
-2.646196673786,0.066223812752
-2.629019954623,0.067293937510
-2.611843235461,0.068380088329
-2.594666516298,0.069482464078
-2.577489797136,0.070601264753
-2.560313077973,0.071736691437
-2.543136358811,0.072888946256
-2.525959639648,0.074058232331
-2.508782920486,0.075244753734
-2.491606201324,0.076448715438
-2.474429482161,0.077670323264
-2.457252762999,0.078909783827
-2.440076043836,0.080167304483
-2.422899324674,0.081443093266
-2.405722605511,0.082737358832
-2.388545886349,0.084050310393
-2.371369167186,0.085382157655
-2.354192448024,0.086733110745
-2.337015728862,0.088103380147
-2.319839009699,0.089493176624
-2.302662290537,0.090902711148
-2.285485571374,0.092332194819
-2.268308852212,0.093781838784
-2.251132133049,0.095251854157
-2.233955413887,0.096742451933
-2.216778694724,0.098253842898
-2.199601975562,0.099786237540
-2.182425256400,0.101339845954
-2.165248537237,0.102914877748
-2.148071818075,0.104511541943
-2.130895098912,0.106130046868
-2.113718379750,0.107770600062
-2.096541660587,0.109433408162
-2.079364941425,0.111118676794
-2.062188222262,0.112826610459
-2.045011503100,0.114557412422
-2.027834783938,0.116311284587
-2.010658064775,0.118088427381
-1.993481345613,0.119889039628
-1.976304626450,0.121713318421
-1.959127907288,0.123561458995
-1.941951188125,0.125433654593
-1.924774468963,0.127330096334
-1.907597749801,0.129250973069
-1.890421030638,0.131196471248
-1.873244311476,0.133166774774
-1.856067592313,0.135162064856
-1.838890873151,0.137182519864
-1.821714153988,0.139228315178
-1.804537434826,0.141299623034
-1.787360715663,0.143396612370
-1.770183996501,0.145519448669
-1.753007277339,0.147668293796
-1.735830558176,0.149843305844
-1.718653839014,0.152044638961
-1.701477119851,0.154272443193
-1.684300400689,0.156526864309
-1.667123681526,0.158808043637
-1.649946962364,0.161116117893
