makina_id,tenperatura,bibrazioa,errorea
M1,64.96714153011233,2.1692585158991715,0
M2,58.61735698828815,4.158709354469282,0
M3,66.47688538100692,4.314570966946461,0
M1,75.23029856408026,3.395445461556762,0
M2,57.658466252766644,4.677428576667982,0
M3,,5.8081017136290765,0
M1,75.79212815507391,8.77237180242106,0
M2,67.67434729152909,5.349155625663678,0
M3,55.30525614065048,5.515100781445529,0
M1,65.42560043585965,4.851108168467666,1
M1,55.365823071875376,1.162457569401917,0
M2,55.34270246429743,4.946972249101567,0
M3,62.41962271566034,,0
M1,40.86719755342202,9.926484224970572,0
M2,42.75082167486967,4.615278070437755,0
M3,54.37712470759027,5.603094684667225,0
M1,49.87168879665576,4.9305764605895135,0
M2,63.142473325952736,2.662643924760936,0
M3,50.91975924478789,7.285645629030041,0
M1,45.87696298664709,6.503866065373549,0
M1,74.65648768921554,6.582063894086094,0
M2,57.74223699513465,3.181225090410522,0
M3,60.67528204687924,7.805588621872198,0
M1,45.75251813786544,2.1962978744154382,0
M2,54.556172754748175,6.173714187600541,0
M3,61.10922589709866,9.380911251619956,0
M1,48.490064225776976,3.0189273497386235,0
M2,63.75698018345672,3.867404540794456,0
M3,53.99361310081195,5.199302730175282,0
M1,57.083062502067236,3.9930486917676014,0
M1,53.98293387770603,1.8986731378677346,0
M2,78.52278184508938,5.137125949612055,0
M3,59.86502775262066,2.8753925725477902,0
M1,49.422890710440996,5.9471848612703635,0
M2,68.22544912103189,3.1611515315323935,0
M3,47.791563500289776,8.09986881003508,0
M1,62.08863595004755,3.4334934153275256,0
M2,40.403298761202244,4.355876967588649,0
M3,46.71813951101569,6.62703443473934,0
M1,61.96861235869123,2.5382713671320896,0
M1,67.3846657999541,5.4549198692082586,0
M2,61.7136828118997,7.614285508564857,1
M3,58.843517176117594,1.785033530877545,0
M1,56.98896304410711,5.369267717064608,0
M2,45.214780096325725,5.519765588496847,0
M3,999.0,6.563645743554621,0
M1,55.393612290402125,2.526098578243836,0
M2,70.57122226218915,2.3590867738314474,0
M3,63.43618289568462,6.0438831312337955,0
M1,42.36959844637266,5.5939693464663724,1
M1,63.24083969394795,5.5009857006917535,0
M2,56.149177195836835,5.692896418993952,0
M3,53.23077999694041,3.6399505568430186,0
M1,66.11676288840867,5.464507394322007,0
M2,70.30999522495951,5.586144946597362,0
M3,69.31280119116198,3.571297163947264,0
M1,51.607824767773614,8.731549022289514,0
M2,56.907876241487855,5.947665841823575,0
M3,63.31263431403564,2.617393005594703,0
M1,69.75545127122359,6.313107217267659,0
M1,55.2082576215471,3.050636659545357,1
M2,58.14341023336183,6.574169207484904,0
M3,48.93665025993972,7.317191158014808,0
M1,48.037933759193294,3.358635363296579,0
M2,68.12525822394198,6.926752258488643,0
M3,73.56240028570824,5.825561853872997,0
M1,59.27989878419666,6.64412031998898,0
M2,70.03532897892023,8.793585965307894,0
M3,63.61636025047634,4.509223767994259,0
M1,53.54880245394876,3.492527671285021,0
M1,63.61395605508414,3.2209711407489534,0
M2,75.38036566465969,3.3683794300691234,0
M3,59.64173960890049,4.845796581171792,0
M1,75.64643655814007,5.682303949633288,0
M2,33.80254895910255,5.553381598660038,0
M3,68.21902504375224,6.654366498072047,0
M1,60.870470682381715,5.026003783755814,0
M2,57.009926495341325,7.907068154314634,0
M3,60.91760776535502,-50.0,0
M1,40.124310853991076,10.440338333179238,0
M1,57.80328112162488,6.251334695530012,0
M2,63.57112571511746,3.285684887167435,0
M3,74.77894044741517,2.8582150038777754,0
M1,54.81729781726352,5.96494483048637,0
M2,51.91506397106812,4.553074429348298,0
M3,54.982429564154636,6.428000988184184,0
M1,69.15402117702074,5.94647524914709,0
M2,63.287511096596845,4.854342174686255,0
M3,54.70239796232961,3.30641256386319,0
M1,65.13267433113356,1.9703055506282707,0
M1,60.9707754934804,4.106970095865957,0
M2,69.68644990532889,6.712797588646945,0
M3,52.979469061226474,5.4281874882604075,0
M1,56.723378534022316,2.508522442576024,0
M2,56.078918468678424,5.346361851702364,1
M3,45.364850518678814,5.770634759457674,0
M1,62.96120277064576,3.2322851275977342,0
M2,62.610552721798896,5.307450211891056,0
M3,60.05113456642461,5.116417436892,0
M1,57.65412866624853,2.714059404338754,0
